tweet_id|case_name|stage|outcome|method_tags|outcome_evidence
1797504522442702990|MEME投资三变量|unclear|unknown|onchain_data,ip_emotion,future_catalyst,anti_fomo|方法论帖，没有给出单一代币、入场价或可核验退出结果。
1914584564363895126|ABCDF评级与仓位|unclear|unknown|position_sizing,risk_management,market_confirmation,progressive_entry|方法论帖；评级对应仓位，但没有完整交易账本证明长期收益。
1991041390932111868|人性与周期|unclear|unknown|market_cycle,position_sizing,anti_fomo,take_profit|方法论帖；强调单仓上限、分批与止盈，未给出单笔结果。
2005508426647134410|一级市场机会论|retrospective|unknown|market_cycle,phase_position,selection|列举当时已走强项目来论证一级机会，未提供统一入场和退出数据。
2013131675161735173|位置大于研判|unclear|unknown|phase_position,risk_management,trade_plan|原则帖；明确优质叙事若位置错误也会亏，但没有单笔结果。
2010027891149680767|策略失效与市场换挡|unclear|unknown|regime_change,invalidation,smart_money_skepticism|方法论帖；指出历史聪明钱包也会归零，直接反驳机械复制钱包。
1996523912348496029|WOJAK文化底座|early|mixed|origin_authenticity,recognizability,remixability,cross_cultural,public_domain|后续自报从约1M持续看多、最高到63M；再后续又明确写63M跌到5.1M，胜负取决于退出。
1999102794444480691|WOJAK Coinbase会议催化|early|mixed|official_usage,current_catalyst,holder_growth,chart_structure,phase_position|文章仍建议先建头仓；后续最高自报63M，但随后回到5.1M，不能把峰值当已实现利润。
2003786470197485665|LIQUID与SNOWBALL飞轮|unclear|unknown|token_mechanism,analog_comparison,developer_background,invalidation|偏机制拆解且明示非介入建议；没有可核验买卖结果。
2003308621070053575|PUMPv2与AE|retrospective|unknown|one_line_positioning,product_utility,creator_origin,current_catalyst,phase_position|作者明说发布不及时，并称群内伙伴更早筛选；公开帖不是纯早期发现，后续结果未给出。
2004954387240898699|PIMP与BLIND|retrospective|unknown|token_mechanism,product_utility,developer_delivery,invalidation|作者明说群里早期讨论、自己分享较晚；交付风险被指出，但无后续结果。
2005289543822651422|LEARING政治讽刺热点|retrospective|success|real_event,one_line_positioning,emotion_identity,celebrity_catalyst|同帖称1M附近策略生效；属于已有上涨后的成功自报，缺少退出记录。
2005994456638701777|KURUMI加密原生二次元IP|early|unknown|origin_authenticity,cultural_fit,community_resonance,creator_recognition,phase_position|在热点币已跌约10倍后提出反弹逻辑；没有后续价格或退出证据。
2006196395934724307|KORA官方人员参与|early|unknown|official_participation,product_utility,creator_recognition,ecosystem_catalyst|Solana CMO买入和入群是核心证据，但代币并非官方发行，结果未记录。
2006210097433960481|12月31日三标的初筛|unclear|unknown|quick_screen,one_line_positioning,token_mechanism,phase_position|同时筛选JUAN、1TO1、DEGENERACY，明确要求二次研判；没有具体成交和结果。
2007760133045297527|BOXABL企业授权粉丝币|early|unknown|real_company,legal_permission,creator_recognition,future_catalyst,phase_position|给出企业授权和潜在上市催化，但没有后续成交或结果。
2007741862698963229|UWU与USD1生态|early|unknown|one_line_positioning,ecosystem_catalyst,official_followers,analog_comparison,phase_position|把生态账号关注作为背书线索，但未证明正式认可，后续结果未知。
2008018399142838582|114514首次公开长文|retrospective|mixed|origin_authenticity,recognizability,creator_recognition,market_confirmation,phase_position|作者后来自报最早发现约230K、一天多到20M近90倍；该公开长文已在上涨途中，且随后称项目暴涨暴跌。
2008109412486107209|114514在7.5M复盘|retrospective|mixed|recognizability,high_control,market_confirmation,chart_structure,phase_position|标题已写7.5M，明显不是底部发现；后来到约20M后剧烈回落，追高者未必盈利。
2008433304060785100|114514高潮时间线|retrospective|mixed|timeline,origin_authenticity,creator_recognition,holder_growth,postmortem|文章已写价格4小时涨1600%、市值破20M，属于高潮复盘；随后出现暴涨暴跌。
2009099176513331498|WBE作家个人IP|early|unknown|real_creator,viral_origin,personal_ip,recognizability|确认作者与病毒推文来源，但没有价格策略、成交或后续结果。
2009082195420565769|MIA xAI员工AI角色|early|unknown|developer_background,product_utility,delivery_catalyst,phase_position,invalidation|给出1.5M策略位及待交付功能，后续结果未记录；自称xAI背景仍需独立核验。
2009249650591850503|WhiteWhale亿级复盘|retrospective|success|market_confirmation,exchange_listing,liquidity,analog_comparison,postmortem|正文直接称已进入亿级项目，证明案例成功但公开时已不早；不能作为该时点可复制入场。
2009669819713630599|75314疑似Solana官方Meme|early|unknown|official_clue,technical_verification,carrier_legitimacy,invalidation|作者只完成公钥解码，明确还需双渠道验证；这是未闭环假设，不应直接买。
2010246675588419862|HACKER反VC叙事|early|unknown|real_event,developer_background,emotion_identity,recognizability,media_catalyst|叙事和人物历史完整，但真实性与长期执行仍有风险，后续价格结果未知。
2010909168568582396|PsyopAnime动漫AI心理战|retrospective|unknown|cross_cultural,developer_background,celebrity_followers,creator_economy,phase_position|作者明确说错过大部分涨幅、等回调，公开信号已滞后；后续结果未记录。
2011065261227720770|CABAL透明供应实验|early|unknown|token_mechanism,onchain_verification,influencer_flywheel,treasury,developer_commitment|机制可链上验证且有资金飞轮，但69席位也形成集中持仓风险；结果未知。
2011288315820220686|3EYES技术型Meme|early|unknown|product_utility,developer_background,creator_recognition,technical_delivery|把实时3D工具与Meme融合，仍处早期交付阶段；没有后续结果。
2013615768659992889|北极熊USD1大赛选标|early|unknown|leaderboard,volume_turnover,visual_symbol,analog_comparison,phase_position|依据交易大赛榜单、庄和冰雪叙事选标，未记录实际成交与后续结果。
2014179078740517224|XOGE社区换筹|retrospective|success|one_line_positioning,holder_growth,volume_turnover,community_takeover|同帖明确写500K附近到ATH 1.6M，是成功复盘而非当下首次发现。
2014244805673713774|BRAINROT互联网烂梗|early|unknown|recognizability,cultural_trend,kol_support,chart_structure,market_confirmation|给出K线、成交量和KOL质量依据，但没有后续结果。
2014608557438861596|Nietzschean Penguin|early|success|viral_origin,recognizability,creator_risk,community_takeover,phase_position,invalidation|在3至4M附近给策略，后续归档自报最高约17M且上Bybit现货；但DEV有rug历史，风险真实存在。
2014630789808586815|Plushify毛绒化革命|early|unknown|visual_symbol,cross_cultural,ecosystem_catalyst,phase_position,developer_risk|给出AI毛绒化和币安生态互动逻辑，但背书多为互动推断，结果未知。
2014644951842488606|SPACE加密版Starlink|early|unknown|one_line_positioning,real_product,partnerships,future_catalyst,developer_delivery|项目有卫星与DePIN实用叙事，但文章已给高分且无交易结果；白皮书和合作仍需独立核验。
2014911464214286765|2016病毒梗与高控结构|early|unknown|viral_trend,analog_comparison,high_control,chart_structure,recognizability|预测三角收敛后启动，尚无归档内后续结果；类比WhiteWhale不能替代验证。
2015667095577727020|BALD从RUG到CTO|early|unknown|community_takeover,known_rug,ecosystem_catalyst,kol_follow,invalidation|明确原DEV跑路，仅以CTO和关注关系博弈，作者也限定为博弈仓；结果未知。
2015674991183053268|WOJAK从63M跌到5.1M|retrospective|failure|drawdown,liquidity_rotation,holder_pressure,market_cycle,invalidation|正文给出63M到5.1M，峰值回撤约92%；继续看多不改变这一阶段的失败事实。
2015987603078774807|COPPERINU大户组局|early|unknown|whale_positions,kol_catalyst,recognizability,market_confirmation,invalidation|作者直言叙事次要，驱动力取决于榜一榜二地址动作；典型需实时监控的可失效信号。
2016150607133081870|小刘鸭职场嘴替|retrospective|success|cultural_timing,emotion_identity,cross_cultural,media_catalyst,chart_structure|作者称此前约50K发过且数日后仍上涨、进入热榜；成功幅度和退出未披露。
2016879550236651922|CLAWDBOX沙盒应用|early|unknown|product_utility,github,low_volume,developer_delivery,invalidation,lottery_position|作者两次说拿不准，并列出极低交易量、新代码、产品未完成和包装风险，只允许彩票仓。
2017067560458735658|MOLT AI版Reddit初始研判|early|mixed|one_line_positioning,real_product,developer_background,creator_recognition,market_confirmation|归档后续自报约4M到123M，但再后续又写ATH下跌80%；若无退出，峰值成功会变成大回撤。
2017077812084269265|MOLT技术评级|early|mixed|product_utility,developer_background,technical_delivery,risk_scoring,market_confirmation|8.2分评级后项目曾从约4M到123M，之后ATH回撤80%；评级不能替代退出纪律。
2017447866311315735|MOLT从4M到123M|retrospective|mixed|postmortem,market_confirmation,phase_position,profit_overhang,risk_management|正文已写4M到123M并提示100M心理位和抛压；后续又从ATH下跌80%。
2019245466710585496|MOLT从ATH回撤80%|retrospective|failure|drawdown,contrarian_entry,relative_strength,stop_loss,invalidation|正文明确ATH下跌80%，说明此前大涨未自动变成已实现利润；新抄底结果在归档内未知。
2017082152102285484|ELON个人符号Meme|early|unknown|celebrity_theme,recognizability,contract_symbol,phase_position|建议等8M回调，核心仍是如何贴近Elon；未出现本人认领和结果证据。
2018573046525931681|StarkBot代理支付设施|early|unknown|product_utility,protocol_integration,developer_background,analog_comparison,chart_structure|产品、协议和对标逻辑完整，但文章说K线即将走出，归档内未给后续结果。
2018566408628764713|GOYIM文化冲突Meme|early|unknown|real_event,emotion_identity,viral_language,kol_catalyst,holder_growth,phase_position|事件与文化冲突具传播性，给3M和2M策略位；结果未知且题材具有高争议风险。
2018826347368566914|BORT BAP-578协议叙事|early|unknown|protocol_narrative,creator_recognition,ecosystem_catalyst,phase_position,invalidation|创始人关联与唯一性是核心，但作者也承认新协议本身是风险；结果未知。
2019267391327514903|HEDGE刺猬对冲双关|early|unknown|wordplay,visual_symbol,stable_pair,ecosystem_catalyst,token_mechanism|定位清晰且有生态人物互动，但互动并非正式背书，未给后续结果。
2019688679988732094|DOG等待名人认领|early|unknown|personal_ip,community_join,recognition_catalyst,analog_comparison,invalidation|原作者入社区但尚未公开认领，帖子把未来认领作为预期；若不认领即失效。
2019705112898539616|Charizard宝可梦30周年|early|unknown|calendar_catalyst,global_ip,wordplay,recognizability,phase_position|在约400K提出周年与红色市场双关，未给后续结果且存在IP授权风险。
2020044940311687466|Buttcoin历史讽刺IP|retrospective|unknown|origin_authenticity,recognizability,community_strength,phase_position|建议33M附近头仓，已属较高市值阶段；后续结果未记录。
2021528836958278037|SOLUNA我们对他们|early|unknown|emotion_identity,one_line_positioning,ecosystem_conflict,kol_catalyst,phase_position|把生态建设者与Meme用户塑造成对立阵营，在约1M提出；后续结果未知。
2024084316511510829|KIMCHI纳斯达克敲钟事件|unclear|unknown|real_event,mainstream_media,official_event,doge_association|真实事件提供强关联叙事，但文章没有入场策略、代币官方映射证明或结果。
2024141232977723415|GAS文化智能层|early|unknown|developer_background,product_utility,hackathon,technical_delivery,invalidation|有doxxed团队和初步产品框架，但无白皮书或审计；作者明确交付仍是风险。
2025064888746623138|LOBSTAR AI富翁实验|retrospective|mixed|real_creator,ai_agent,verifiable_wallet,recognizability,phase_position|公开帖已说群内约400K上来并建议8至10M、不要追；后续16.8M跌到370K再回12.7M，路径极端。
2025656251552878917|LOBSTAR误发5.2%供应|retrospective|mixed|real_event,technical_failure,drawdown,recognizability,recovery,invalidation|正文给出16.8M到370K再到12.7M；事故带来关注和反弹，也证明叙事资产可因单次执行错误近乎归零。
2025437352534085777|HODL原作者费用认领|early|success|origin_authenticity,creator_recognition,fee_wallet,carrier_legitimacy,phase_position|建议1.5至2M附近；归档后续自报已到约4M，阶段性约2倍，但无退出记录。
2025537468553191914|PIPPIN高位复盘|retrospective|mixed|origin_authenticity,creator_recognition,ai_agent,market_confirmation,phase_position|正文回顾曾到770M、当时约590M，并承认旧CA公式可能失效；不能作为低位发现案例。
2026178402773086422|ONE错误CA后更正|retrospective|failure|carrier_legitimacy,wrong_contract,creator_recognition,ip_rwa,invalidation|作者公开承认第一次发的CA并非官方并道歉；这是研究流程失败，修正CA后的收益仍未知。
2026188504628379800|ZOE等待正式认领|early|unknown|expert_interaction,recognition_catalyst,analog_comparison,invalidation|Karpathy评价AI代理是催化，但作者明确爆发点和风险都在正式认领，未认领前不能视作闭环。
2026678390456201594|GORK旧币再启动|retrospective|failure|celebrity_catalyst,legacy_ip,profit_overhang,phase_position,invalidation|历史ATH约100M，建议1.5至2M接，代表从峰值约98%回撤；新一轮结果未知且依赖Elon持续提及。
2027202570775912513|SLURMIT反Pepe青蛙|early|unknown|real_event,cultural_history,emotion_identity,remixability,recognizability,phase_position|真实抗议符号加历史青蛙IP形成差异化，给头仓加500K跌补；结果未知。
2027282115868426654|JELLYBE动物事件二段|retrospective|success|real_event,mainstream_media,analog_comparison,market_confirmation,phase_position,profit_overhang|正文明确群内670.4K到ATH 8M，约11.9倍，并提醒当前已高不追；是成功复盘，不是公开早期信号。
2028293286461571518|MAXXING自优化文化|retrospective|unknown|cultural_trend,one_line_positioning,celebrity_catalyst,kol_support,phase_position|标题已写二段并回看两次1.5M回调位，属于带有后见信息的策略复盘；后续结果未知。
2028358173015581089|MILADY BSC版OpenClaw|early|success|one_line_positioning,global_ip,product_utility,developer_background,official_interaction,phase_position|建议等获利盘回落到1M；次日归档自报1M附近策略后高位约3倍，阶段性成功但无退出记录。
2028713090481807486|MILADY偏见纠正复盘|retrospective|success|postmortem,official_interaction,market_confirmation,phase_position,cognitive_bias|正文明确回看前一日1M策略并称高位约3倍，属于成功后的偏见复盘。
2028729935909601614|GIRAFFES Binance Skills示例CA|early|unknown|official_repository,carrier_legitimacy,future_catalyst,product_narrative,invalidation|预测Binance Skills Hub公布时爆发，关键是示例库与CA映射；未给后续结果，官方示例不等于投资背书。
2029035506152161537|GOOSE反恐精英创作者权益|early|unknown|real_creator,official_media,emotion_identity,recognizability,controversy_resolution|约240K时复盘24小时认领与澄清事件，叙事强但权利和代币关系仍复杂；归档截至当日，结果未知。
